x,z_upper,z_lower,delta
5.150501672240801909e+00,2.722951494884911505e-01,-1.906091332475056688e-01,1.041864434511001469e-01
5.173913043478260754e+00,2.693905093715747712e-01,-1.887423807531380393e-01,1.045922330944092787e-01
5.197324414715718710e+00,2.664858692546584473e-01,-1.868572843648983461e-01,1.049977605140593739e-01
5.220735785953176666e+00,2.635305718786479234e-01,-1.849387553770588388e-01,1.054030270595540664e-01
5.244147157190635511e+00,2.605735827392786086e-01,-1.830202263892192760e-01,1.058080340674333736e-01
5.267558528428093467e+00,2.576165935999094603e-01,-1.811016974013797964e-01,1.062127828614554126e-01
5.290969899665551424e+00,2.546596044605403120e-01,-1.791831684135402891e-01,1.066172747527750347e-01
5.314381270903009380e+00,2.517026153211711081e-01,-1.772458374759481314e-01,1.070215110401189218e-01
5.337792642140468224e+00,2.486949790932747872e-01,-1.752738968928790331e-01,1.074254930099576566e-01
5.361204013377926181e+00,2.456866727135365580e-01,-1.733019563098100457e-01,1.078292219366746019e-01
5.384615384615384137e+00,2.426783663337983565e-01,-1.713300157267410306e-01,1.082326990827317537e-01
5.408026755852842093e+00,2.396700599540601551e-01,-1.693580751436720433e-01,1.086359256988325556e-01
5.431438127090300938e+00,2.366613544650365830e-01,-1.673683982036658635e-01,1.090389030240819374e-01
5.454849498327758894e+00,2.335990779317843324e-01,-1.653458326507466492e-01,1.094416322861431895e-01
5.478260869565216851e+00,2.305368013985320819e-01,-1.633232670978274348e-01,1.098441147013924785e-01
5.501672240802674807e+00,2.274745248652798313e-01,-1.613007015449082204e-01,1.102463514750702256e-01
5.525083612040133652e+00,2.244122483320274697e-01,-1.592781359919889228e-01,1.106483438014301268e-01
5.548494983277591608e+00,2.213485249628531215e-01,-1.572368196267989182e-01,1.110500928638852719e-01
5.571906354515049564e+00,2.182359166992006994e-01,-1.551605689662828580e-01,1.114515998351520293e-01
5.595317725752507521e+00,2.151233084355482494e-01,-1.530843183057667700e-01,1.118528658773911277e-01
5.618729096989966365e+00,2.120107001718957163e-01,-1.510080676452505988e-01,1.122538921423464620e-01
5.642140468227424321e+00,2.088980919082432941e-01,-1.489318169847345108e-01,1.126546797714814835e-01
5.665551839464882278e+00,2.057827871164490396e-01,-1.468376896298662915e-01,1.130552298961132324e-01
5.688963210702341122e+00,2.026182136152442914e-01,-1.447102744043517741e-01,1.134555436375440512e-01
5.712374581939799079e+00,1.994536401140396820e-01,-1.425828591788373678e-01,1.138556221071910374e-01
5.735785953177257035e+00,1.962890666128350448e-01,-1.404554439533229615e-01,1.142554664067134823e-01
5.759197324414714991e+00,1.931244931116304353e-01,-1.383280287278085552e-01,1.146550776281377165e-01
5.782608695652173836e+00,1.899558485255779250e-01,-1.361819961432463588e-01,1.150544568539805385e-01
5.806020066889631792e+00,1.867384922209173181e-01,-1.340015871143671877e-01,1.154536051573698263e-01
5.829431438127089748e+00,1.835211359162567113e-01,-1.318211780854880166e-01,1.158525236021637067e-01
5.852842809364547705e+00,1.803037796115961044e-01,-1.296407690566088455e-01,1.162512132430674611e-01
5.876254180602006549e+00,1.770864233069353866e-01,-1.274603600277295912e-01,1.166496751257484893e-01
5.899665551839464506e+00,1.738635485030364525e-01,-1.252607834243789631e-01,1.170479102869495802e-01
5.923076923076922462e+00,1.705939613810221189e-01,-1.230265206409335565e-01,1.174459197546000172e-01
5.946488294314380418e+00,1.673243742590077854e-01,-1.207922578574881500e-01,1.178437045479252682e-01
5.969899665551839263e+00,1.640547871369933408e-01,-1.185579950740426602e-01,1.182412656775544135e-01
5.993311036789297219e+00,1.607852000149790350e-01,-1.163237322905972537e-01,1.186386041456261309e-01
6.016722408026755176e+00,1.575080793450891192e-01,-1.140704514536558106e-01,1.190357209458930560e-01
6.040133779264214020e+00,1.541841642752020958e-01,-1.117840859842747087e-01,1.194326170638240758e-01
6.063545150501671976e+00,1.508602492053151833e-01,-1.094977205148937038e-01,1.198292934767054563e-01
6.086956521739129933e+00,1.475363341354282987e-01,-1.072113550455126851e-01,1.202257511537398182e-01
6.110367892976587889e+00,1.442124190655413862e-01,-1.049249895761316803e-01,1.206219910561440872e-01
6.133779264214046734e+00,1.408788435276275008e-01,-1.026170767635668779e-01,1.210180141372455692e-01
6.157190635451504690e+00,1.375010060552017410e-01,-1.002741091964092363e-01,1.214138213425763613e-01
