x,z_upper,z_lower,delta
6.180602006688962646e+00,1.341231685827759534e-01,-9.793114162925159460e-02,1.218094136099668184e-01
6.204013377926420603e+00,1.307453311103501936e-01,-9.558817406209393908e-02,1.222047918696369251e-01
6.227424749163879447e+00,1.273674936379242950e-01,-9.324520649493621416e-02,1.225999570442867365e-01
6.250836120401337404e+00,1.239767197661708065e-01,-9.088011611001113599e-02,1.229949100491850023e-01
6.274247491638795360e+00,1.205432416272143314e-01,-8.848308601776248838e-02,1.233896517922568603e-01
6.297658862876253316e+00,1.171097634882578564e-01,-8.608605592551384078e-02,1.237841831741696430e-01
6.321070234113712161e+00,1.136762853493012426e-01,-8.368902583326509603e-02,1.241785050884180452e-01
6.344481605351170117e+00,1.102428072103447815e-01,-8.129199574101644843e-02,1.245726184214070581e-01
6.367892976588628073e+00,1.067916834141178495e-01,-7.886853917805268510e-02,1.249665240525347776e-01
6.391304347826086918e+00,1.033014593463717212e-01,-7.641434023949009169e-02,1.253602228542728680e-01
6.414715719063544874e+00,9.981123527862573175e-02,-7.396014130092759542e-02,1.257537156922464427e-01
6.438127090301002831e+00,9.632101121087974227e-02,-7.150594236236509915e-02,1.261470034253126815e-01
6.461538461538460787e+00,9.283078714313375279e-02,-6.905174342380260288e-02,1.265400869056379496e-01
6.484949832775919631e+00,8.931575530028355858e-02,-6.656538621331520300e-02,1.269329669787742643e-01
6.508361204013377588e+00,8.576906676872705915e-02,-6.405426312826283108e-02,1.273256444837339019e-01
6.531772575250835544e+00,8.222237823717055971e-02,-6.154314004321045917e-02,1.277181202530637549e-01
6.555183946488293500e+00,7.867568970561406028e-02,-5.903201695815809419e-02,1.281103951129178575e-01
6.578595317725752345e+00,7.512900117405742206e-02,-5.652089387310563207e-02,1.285024698831292445e-01
6.602006688963210301e+00,7.154409695482816245e-02,-5.396507878785117979e-02,1.288943453772805059e-01
