x,delta_upper,delta_lower
4.329317269076304875e+00,8.758401086211345388e-02,8.758401086211345388e-02
4.357429718875502012e+00,8.807126589526581562e-02,8.807126589526581562e-02
4.385542168674698260e+00,8.855807204899050766e-02,8.855807204899050766e-02
4.413654618473895397e+00,8.904443261032142509e-02,8.904443261032142509e-02
4.441767068273092534e+00,8.953035082144798762e-02,8.953035082144798762e-02
4.469879518072288782e+00,9.001582988060670421e-02,9.001582988060670421e-02
4.497991967871485919e+00,9.050087294294982543e-02,9.050087294294982543e-02
4.526104417670682167e+00,9.098548312139102812e-02,9.098548312139102812e-02
4.554216867469879304e+00,9.146966348742981145e-02,9.146966348742981145e-02
4.582329317269076441e+00,9.195341707195449354e-02,9.195341707195449354e-02
4.610441767068272689e+00,9.243674686602489088e-02,9.243674686602489088e-02
4.638554216867469826e+00,9.291965582163544402e-02,9.291965582163544402e-02
4.666666666666666963e+00,9.340214685245880333e-02,9.340214685245880333e-02
4.694779116465863211e+00,9.388422283457123485e-02,9.388422283457123485e-02
4.722891566265060348e+00,9.436588660715981847e-02,9.436588660715981847e-02
4.751004016064256597e+00,9.484714097321222948e-02,9.484714097321222948e-02
4.779116465863453733e+00,9.532798870018978354e-02,9.532798870018978354e-02
4.807228915662650870e+00,9.580843252068381444e-02,9.580843252068381444e-02
4.835341365461847118e+00,9.628847513305642536e-02,9.628847513305642536e-02
4.863453815261044255e+00,9.676811920206565554e-02,9.676811920206565554e-02
4.891566265060240504e+00,9.724736735947567268e-02,9.724736735947567268e-02
4.919678714859437640e+00,9.772622220465261578e-02,9.772622220465261578e-02
4.947791164658634777e+00,9.820468630514603281e-02,9.820468630514603281e-02
4.975903614457831026e+00,9.868276219725694021e-02,9.868276219725694021e-02
5.004016064257028162e+00,9.916045238659249028e-02,9.916045238659249028e-02
5.032128514056224411e+00,9.963775934860757966e-02,9.963775934860757966e-02
5.060240963855421548e+00,1.001146855291342452e-01,1.001146855291342452e-01
5.088353413654618684e+00,1.005912333448984314e-01,1.005912333448984314e-01
5.116465863453814933e+00,1.010674051840254745e-01,1.010674051840254745e-01
5.144578313253012070e+00,1.015432034065336525e-01,1.015432034065336525e-01
5.172690763052208318e+00,1.020186303448167159e-01,1.020186303448167159e-01
